Week,Obtained Artifacts,Upgraded Artifacts,Upgraded to Four but Skipped,HP %,DEF %,ATK %,Total ATK,EM,ER,Crit Rate %,Crit DMG %,Elemental DMG,Average Damage,Critical Damage,Normal Damage
1,98,8,4,0.0,98.4,57.7,2542.0,33.0,269.9,29.9,90.4,161.5,8444.0,12657.0,6648.0
2,203,4,9,4.7,46.7,46.6,2419.0,33.0,258.9,62.6,122.3,154.4,10862.0,13680.0,6155.0
3,297,13,22,9.9,19.0,40.8,2338.0,0.0,284.2,59.4,119.9,217.4,12709.0,16318.0,7420.0
4,399,17,27,9.9,0.0,51.9,2427.0,0.0,284.2,39.6,169.7,217.4,12881.0,20773.0,7702.0
5,499,20,33,9.9,0.0,42.0,2321.0,40.0,284.2,49.7,160.4,217.4,13245.0,19185.0,7368.0
6,594,27,47,9.9,0.0,37.3,2277.0,40.0,269.9,59.8,156.5,208.1,13589.0,17998.0,7017.0
7,695,32,52,15.2,7.3,37.3,2242.0,23.0,269.9,58.7,174.4,208.1,13979.0,18956.0,6909.0
8,801,24,58,15.2,7.3,37.3,2242.0,23.0,269.9,58.7,174.4,208.1,13979.0,18956.0,6909.0
9,892,53,57,19.8,0.0,35.0,2220.0,16.0,269.9,76.2,139.4,208.1,14103.0,16375.0,6841.0
10,997,32,78,19.8,0.0,35.0,2220.0,16.0,269.9,76.2,139.4,208.1,14103.0,16375.0,6841.0
11,1099,41,79,9.9,0.0,57.1,2480.0,16.0,269.9,71.1,124.6,208.1,14413.0,17164.0,7642.0
12,1202,42,81,9.9,0.0,73.5,2634.0,16.0,264.1,65.3,131.6,204.4,14904.0,18568.0,8018.0
13,1295,39,108,9.9,0.0,73.5,2634.0,16.0,264.1,65.3,131.6,204.4,14904.0,18568.0,8018.0
14,1394,58,105,9.9,0.0,77.5,2671.0,16.0,264.1,65.3,133.9,204.4,15235.0,19016.0,8129.0
15,1501,54,105,5.2,0.0,73.5,2636.0,0.0,281.6,68.0,126.1,215.7,15463.0,18823.0,8324.0
16,1596,56,124,10.5,0.0,77.0,2671.0,0.0,268.6,68.0,133.9,207.3,15684.0,19202.0,8209.0
17,1698,61,123,10.5,0.0,77.0,2671.0,0.0,268.6,68.0,133.9,207.3,15684.0,19202.0,8209.0
18,1799,75,120,10.5,0.0,67.0,2578.0,0.0,268.6,75.4,130.8,207.3,15733.0,18283.0,7921.0
19,1888,80,148,10.5,0.0,67.0,2578.0,0.0,268.6,75.4,130.8,207.3,15733.0,18283.0,7921.0
20,2000,62,152,10.5,0.0,67.0,2578.0,0.0,268.6,75.4,130.8,207.3,15733.0,18283.0,7921.0
21,2102,60,162,10.5,0.0,67.0,2578.0,0.0,268.6,75.4,130.8,207.3,15733.0,18283.0,7921.0
22,2209,74,145,10.5,0.0,67.0,2578.0,0.0,268.6,75.4,130.8,207.3,15733.0,18283.0,7921.0
23,2303,73,167,10.5,0.0,67.0,2578.0,0.0,268.6,75.4,130.8,207.3,15733.0,18283.0,7921.0
24,2401,89,165,10.5,0.0,67.0,2578.0,0.0,268.6,75.4,130.8,207.3,15733.0,18283.0,7921.0
25,2514,98,144,10.5,0.0,67.0,2578.0,0.0,268.6,75.4,130.8,207.3,15733.0,18283.0,7921.0
26,2598,115,168,5.2,0.0,51.3,2448.0,0.0,275.1,68.8,158.0,211.5,15915.0,19678.0,7627.0
